9000,13250,29,39
2140,3930,13,34
4350,6250,7,20
5690,11100,37,52
3800,6350,17,38
2480,3920,19,34
9350,9400,46,48
4800,6800,10,18
5550,5657,43,46
13000,13590,59,63
3370,3600,11,15
7390,7650,43,45
7350,7500,14,23
5000,11200,16,51
6590,6850,22,28
6850,11100,28,38
16250,17200,43,46
34500,38500,56,62
7200,8500,24,31
3850,4090,38,39
6550,15750,21,65
20225,21000,55,58
4690,5500,32,53
3650,5370,37,57
3930,4850,44,53
8040,9850,47,56
5160,6690,35,36
6450,7490,45,54
4910,5000,40,41
2420,3150,26,34
5180,9900,40,61
2360,5180,7,40
3950,5200,44,45
8800,9500,39,57
2550,3255,45,58
5975,7620,41,54
9900,9980,61,63
2350,4350,17,41
1600,2179,7,42
16000,16010,61,62
3000,4180,31,36
3190,7860,38,53
1470,3442,18,42
2550,10500,28,64
4210,6350,39,61
1200,2610,17,38
1270,3082,29,45
8500,10070,42,48
1200,1870,30,39
4490,7966,25,41
6015,7000,42,54
3790,4430,33,39
2230,4085,27,44
4085,4850,44,50
1400,1450,25,36
1800,2500,17,34
2100,4151,23,42
5270,6550,37,51
1820,2050,37,38
3450,7498,28,47
9350,9450,60,61
2100,5200,40,54
3350,8325,31,66
14500,17300,56,64
3530,11990,45,58
1760,2260,17,29
3050,4390,5,39
2320,4000,39,55
7600,8450,46,50
2150,5990,30,65
7400,7950,47,53
1200,2565,31,46
1700,3990,27,43
1750,3000,40,44
1000,1450,6,18
2050,4840,9,42
4840,5250,42,51
1990,5495,38,57
5990,6930,55,59
4883,5020,43,47
24000,29590,51,63
4750,5310,52,56
5070,5100,57,58
3910,7100,35,64
1060,1330,9,32
2545,5200,43,44
6890,7990,62,63
1580,1680,14,26
1680,1710,26,29
2620,6700,18,64
7850,8700,48,56
3065,3100,43,45
2020,3457,30,42
1350,3100,29,51
1900,3300,37,54
2320,4994,28,57
6195,7195,44,50
2300,2420,32,34
1390,2685,28,42
1060,1700,37,42
4650,5495,37,41
1590,2510,35,42
6630,6995,59,60
2420,7300,11,56
1660,3490,41,57
4589,5893,43,58
2150,3900,38,54
12300,13900,58,62
5200,6250,44,58
4660,9400,24,59
6050,6200,58,65
2400,5900,21,47
6100,6890,47,52
7420,8915,54,63
6002,6190,55,66
5370,5515,43,44
3350,4200,5,15
8300,14000,37,55
9350,11000,41,54
3740,4585,40,54
3700,5340,39,52
4285,4875,45,62
2451,2950,46,55
2460,3600,37,43
5250,7500,29,39
7500,10510,39,50
3850,5675,39,50
3600,4500,10,22
10270,23670,29,63
6287,6500,49,54
2095,4350,62,63
3150,3910,43,56
5220,5911,49,62
7990,8450,35,36
14800,18000,38,49
6580,6860,42,43
6860,7045,43,45
4890,7212,38,60
4950,9050,32,52
9050,9075,52,53
3545,4400,49,53
4690,5050,27,32
4300,4350,7,9
2220,4850,36,60
5500,9750,56,59
9750,9800,59,60
2270,2970,25,34
3430,6550,32,58
3540,3542,39,41
5225,8025,41,58
3420,4600,38,48
6990,7950,34,39
6440,14750,30,66
1450,1760,6,28
5350,6990,53,61
2310,4480,11,40
4480,4500,40,43
3290,3800,31,34
1650,2200,8,36
1320,3800,46,50
2350,3110,14,30
