165,1130,9,66
399,750,41,50
190,349,4,34
174,270,8,30
240,395,4,23
305,415,17,28
213,280,20,30
275,425,26,34
190,213,7,26
305,370,12,20
205,450,9,32
180,479,13,36
390,590,60,65
615,700,44,55
190,240,5,30
250,305,12,22
185,490,8,36
490,850,36,62
258,275,13,15
275,315,15,21
315,375,21,27
257,350,15,26
350,549,26,33
267,590,8,30
569,880,34,56
215,315,11,28
900,995,54,60
180,660,11,41
329,580,33,43
237,720,26,43
340,595,43,51
262,265,11,12
525,635,29,34
174,640,1,63
168,380,13,39
365,545,26,36
325,570,35,43
300,430,14,27
430,950,27,57
799,1200,36,55
225,480,23,50
289,550,32,62
239,585,29,47
60,80,4,12
172,619,1,45
215,779,7,64
385,500,63,66
174,175,5,6
205,750,6,43
250,600,29,44
235,450,28,35
244,610,21,53
360,549,27,33
265,440,12,32
240,360,23,32
335,403,15,28
230,305,20,33
243,410,24,33
317,640,6,30
210,245,7,19
309,485,9,22
485,870,22,35
445,510,9,14
655,700,16,22
625,850,25,27
850,1030,27,31
475,760,28,35
750,1850,17,35
845,1230,30,36
340,355,11,14
340,425,4,16
425,697,16,27
520,780,21,35
380,515,14,22
520,910,23,35
1250,1430,27,32
1430,2550,32,45
510,2050,18,59
530,1240,23,55
670,950,23,33
265,283,8,17
283,500,17,31
592,1025,17,31
930,1545,30,33
1150,2240,30,44
455,995,10,31
400,615,20,26
1048,2200,29,46
360,730,11,27
800,890,31,34
339,980,8,34
750,915,30,34
980,1650,29,49
455,620,18,25
620,920,25,35
440,1485,6,36
310,375,4,15
1070,1950,34,59
430,590,6,22
462,490,10,16
465,595,18,27
545,700,4,16
1109,1169,51,52
450,517,15,20
517,1550,20,45
1250,5000,25,54
360,743,9,27
490,670,22,35
480,740,16,28
1675,2060,52,64
1200,2265,32,64
370,889,4,30
750,1419,24,33
560,1180,20,35
500,1550,11,50
430,725,14,26
180,195,12,18
590,1300,16,34
455,770,17,29
680,1020,23,32
1020,2360,32,57
620,740,24,29
330,1250,13,39
350,510,20,27
999,1290,36,44
845,1680,33,46
399,785,4,27
520,760,25,29
2000,2150,52,57
576,925,18,28
595,2000,21,56
920,2235,22,60
700,750,22,25
280,317,1,11
565,717,21,26
1379,1396,54,55
740,1980,30,64
1030,2700,31,60
850,1440,36,57
450,690,15,27
420,610,8,23
215,280,7,19
280,545,19,31
475,575,6,17
524,1300,21,58
200,245,5,8
550,1070,8,29
1070,1990,29,58
365,500,11,21
525,1910,20,57
1075,1090,35,36
485,580,16,20
600,795,11,22
730,1245,26,36
1279,1304,51,52
409,1260,23,60
950,1780,30,43
367,405,5,11
405,535,11,22
535,660,22,27
660,845,27,32
395,610,5,25
1100,1450,35,64
1018,1375,54,65
789,825,22,25
375,570,26,34
263,626,5,32
494,1170,28,43
1820,1860,45,48
989,1019,48,50
595,670,19,22
460,485,8,13
485,695,13,24
620,1395,24,34
430,485,13,17
485,640,17,26
437,695,10,24
300,520,5,26
475,822,11,28
360,1120,11,35
545,1550,8,36
305,480,8,23
310,617,15,35
295,320,2,13
320,580,13,26
580,795,26,33
415,480,13,18
385,750,17,31
460,530,4,11
315,380,8,17
375,400,5,13
1030,1033,48,50
290,515,6,22
515,635,22,28
635,1170,28,35
635,680,24,26
580,975,23,33
835,910,32,34
430,479,14,18
479,835,18,32
425,850,11,30
880,890,24,25
355,600,10,25
590,830,23,30
420,960,17,35
325,476,6,27
850,940,28,32
500,1400,9,33
352,580,18,28
1140,1350,57,65
1130,1140,46,57
650,722,29,32
920,1405,36,61
2266,2450,44,58
420,690,19,25
340,519,10,21
300,910,10,34
560,865,23,31
1200,2250,36,59
490,540,18,25
161,175,9,31
635,825,16,21
1200,1660,25,32
1660,2850,32,51
510,1050,13,28
1260,1445,30,35
448,670,18,26
275,375,18,28
400,1312,9,56
740,2470,26,63
480,800,14,28
480,550,19,22
530,1750,23,66
235,1000,13,43
1229,1230,54,56
255,625,13,33
625,1215,33,64
299,325,1,6
325,1295,6,42
417,630,10,23
1300,1370,44,66
285,300,5,14
300,430,14,23
430,610,23,29
860,920,33,36
350,995,4,36
1976,2020,61,62
430,1000,17,35
420,480,9,14
375,640,11,28
725,1140,18,30
1140,2000,30,57
590,640,21,22
890,1770,33,56
420,560,12,21
400,965,11,32
965,1874,32,42
799,1400,34,57
700,1125,12,31
800,1360,19,35
1725,3500,33,57
565,2175,17,66
1120,1369,53,62
420,510,17,26
295,470,30,32
1480,1875,43,56
194,330,1,26
360,460,5,17
460,710,17,27
575,860,33,56
205,355,5,23
927,1350,36,43
675,820,30,34
720,2335,25,54
292,498,24,35
497,1550,5,64
390,1675,5,44
200,350,15,31
825,1195,31,35
510,1000,10,27
1390,2619,35,59
827,1430,36,65
455,810,17,36
300,750,25,52
425,700,20,30
700,850,27,30
445,715,5,23
715,865,23,27
330,495,12,26
475,1200,11,35
690,995,23,31
360,570,25,33
230,598,9,30
410,635,8,22
825,1690,30,57
360,595,25,32
440,557,21,26
557,680,26,27
580,890,15,30
715,760,20,23
381,840,30,61
1675,1750,32,34
385,575,14,22
575,810,22,31
1452,3445,35,65
325,697,15,30
697,1640,30,63
435,570,7,25
510,620,27,30
425,1270,7,27
1270,1500,27,31
290,3395,9,65
249,499,13,33
1520,2200,49,63
357,372,6,10
350,890,22,43
890,1030,43,57
315,596,13,29
596,930,29,36
840,1050,55,62
560,795,14,22
330,595,10,22
249,322,13,28
322,539,28,33
575,849,34,43
960,1135,45,59
570,1300,19,33
640,830,9,25
285,423,14,26
425,515,9,15
430,595,3,10
950,1180,30,31
790,1550,20,30
425,1780,22,45
550,2495,13,43
1140,1235,22,26
550,860,35,57
365,850,2,29
731,1700,29,59
360,535,20,27
530,550,30,31
206,541,6,35
550,1800,21,63
320,460,13,26
245,287,20,22
287,365,22,31
569,780,15,25
206,541,6,35
246,849,10,48
1199,1200,57,58
325,680,16,32
540,2199,25,65
550,1080,23,62
400,415,10,17
399,1459,8,64
1330,1600,53,65
469,1330,22,53
300,545,7,26
325,340,12,17
340,730,17,35
465,480,10,16
520,575,15,25
1899,2150,45,58
600,1150,21,31
400,809,17,35
467,640,10,22
532,1285,21,35
1380,2720,36,57
315,505,18,27
745,2180,23,52
300,339,4,10
359,515,28,34
239,515,15,34
504,620,26,28
319,420,24,26
